DMU Number,Litres,Average Ppl,Mileage,Profits
DMU 65,195.49,0.21,102.05,109.57
DMU 66,442.09,29.44,605.01,372.82
DMU 67,456.64,37.18,327.51,628.34
DMU 68,460.53,9.61,381,399.54
DMU 69,224.99,5.33,706.96,152.26
DMU 70,419.67,19.5,323.63,431.55
DMU 71,426.29,10.08,702.59,396.42
DMU 72,171.88,23.05,781.21,449.76
DMU 73,268.44,0.72,33.99,648.93
DMU 74,192.46,35.81,271.72,554.81
DMU 75,332.08,47.37,681.65,388.7
DMU 76,46.61,6.33,486.76,537.83
DMU 77,171.89,14.27,57.06,307.52
DMU 78,461.95,45.28,533.14,662.5
DMU 79,414.18,32.75,334.71,22.52
DMU 80,326.06,43.1,899.07,141.41
DMU 81,136.17,30.67,123.9,165.39
DMU 82,463.69,23.48,434.1,210.2
DMU 83,16.81,42.72,37.16,616.73
DMU 84,90.33,5.96,56.96,149.92
DMU 85,139,8.37,790.93,54.41
DMU 86,271.02,42.21,13.62,345.7
DMU 87,269.13,14.22,906.05,604.91
DMU 88,468.99,23.67,459.94,287.33
DMU 89,276.56,26.47,502.07,33.24
DMU 90,91.91,32.58,823.47,343.51
DMU 91,50.06,9.83,371.26,329.26
DMU 92,35.13,30.62,542.59,236.46
DMU 93,145.56,4.91,536.21,186.18
DMU 94,255.81,11.82,649.77,453.16
DMU 95,213.31,4.37,507.56,565.56
DMU 96,443.3,47.57,898.91,620.26
DMU 97,138.82,24.5,326.91,159.22
DMU 98,72.83,10.95,246.77,216.04
DMU 99,272.74,8.37,160.93,203.67
DMU 100,262.45,29.75,73.05,398.85
DMU 101,227.3,30.72,818.06,349.09
DMU 102,156.88,16.07,11.34,263.19
DMU 103,366.38,28.88,528.75,449.9
DMU 104,250.69,30.23,404.98,290.61
DMU 105,322.58,13.2,875.8,290.2
DMU 106,153.88,7.74,850,616.77
DMU 107,174.98,19.03,305.42,674.42
DMU 108,120.53,14.18,900.66,659.6
DMU 109,121.55,28.84,689.73,696.74
DMU 110,121.2,9.25,333.89,626.77
DMU 111,183.45,40.61,775.22,181.9
DMU 112,380.62,44.34,886.29,91.41
DMU 113,478.35,27.49,948.63,224.84
DMU 114,45.97,13.7,547.51,106.5
DMU 115,203.46,41,691.46,234.2
DMU 116,287.59,24.07,916.97,242.71
DMU 117,334.91,49.91,827.65,70.73
DMU 118,285.49,16.87,647.23,230.31
DMU 119,102.9,6.59,742.77,666.89
DMU 120,328.14,17.26,948.62,387.82
DMU 121,187.86,31.48,628.89,93.66
DMU 122,160.03,26.79,936.24,229.55
DMU 123,198.96,11.77,61.32,571.81
DMU 124,153.77,6.24,93.13,308.55
DMU 125,426.68,20.67,119.29,285.35
DMU 126,428.89,28.94,366.53,534.88
DMU 127,117.34,37.27,527.85,491.38
DMU 128,65.62,36.34,584.76,486.74
DMU 129,29.87,47.17,180.17,91.55
DMU 130,108.23,28.68,98.02,115.24
DMU 131,242.8,49.43,764.47,166.89
DMU 132,243.41,21.43,883.9,648.07
DMU 133,216.6,12.48,152.25,447.34
DMU 134,336.19,16.16,949.68,502.03
DMU 135,119.7,0.67,908.1,468.87
DMU 136,59.55,6,82.78,592.15
DMU 137,292.47,7.72,495.54,155.34
DMU 138,338,21.48,446.86,313.73
DMU 139,277.81,38.54,67.59,10.33
DMU 140,294.13,39.33,475.49,402.22
DMU 141,156.54,16.75,375.9,556.87
DMU 142,221.89,23.36,94.63,517.44
DMU 143,307.65,35.99,10.91,31.43
DMU 144,408.19,24.93,431.31,397.33
DMU 145,53.33,41.62,989.88,535.34
DMU 146,401.38,21.51,907.98,529.08
DMU 147,19.32,36.44,937.9,462.39
DMU 148,323.86,49.87,104.62,476.19
DMU 149,445.27,26.82,493.03,311.69
DMU 150,108.57,42.92,290.02,251.75
DMU 151,489.43,14.73,804.21,142.33
DMU 152,88.46,23.3,837.01,503.39
DMU 153,110.77,28.43,213.54,443.07
DMU 154,143.36,38.59,955.02,411.26
DMU 155,260.46,22.72,703.47,341.63
DMU 156,384.35,30.59,295.35,400.48
DMU 157,7.02,14.25,21.27,324.37
DMU 158,220.59,11.45,839.61,142.85
DMU 159,217.26,21.67,399.27,165.25
DMU 160,431.32,42.51,235.72,279.9
DMU 161,166.64,24.22,126.38,264.1
DMU 162,290.07,30.47,955.12,294.86
DMU 163,337.86,12.89,587.54,534.94
DMU 164,432.17,29.6,409.14,573.96
DMU 165,215.42,44.25,432.33,400.87
DMU 166,495.33,12.64,362.19,500.54
DMU 167,439.55,32.64,626.8,646.75
DMU 168,199.79,38.17,641.01,216.32
DMU 169,207.91,11.31,159.69,337.12
DMU 170,351.66,18.38,156.56,35.1
DMU 171,191.74,9.58,592.36,335.74
DMU 172,220.83,43.68,930.85,41.44
DMU 173,333.61,19.7,182.19,195.78
DMU 174,260.76,34.22,227.71,454.41
DMU 175,344.48,49.43,481.35,487.25
DMU 176,8.89,1.42,126.24,688.58
DMU 177,317.86,9.91,106.07,180.46
DMU 178,380.28,34.01,892.99,645.34
DMU 179,319.16,24.46,231.87,60.4
DMU 180,322.08,18.65,141.3,663.31
DMU 181,185.9,25.76,840.15,614.19
DMU 182,400.9,4.49,485.33,613.78
DMU 183,171.92,36.53,535.36,497.71
DMU 184,111.97,1.58,177.52,59.04
DMU 185,97.98,47.18,531.29,565.84
DMU 186,357.22,33.32,582.59,492.75
DMU 187,324.82,44.33,354.39,405.04
DMU 188,42.44,27.39,553.52,378.29
DMU 189,53.51,5.91,64.39,11
DMU 190,474.49,38.86,476.23,351.87
DMU 191,299.7,43.03,369.79,347.36
DMU 192,352.45,32.88,118.04,139.55
DMU 193,369.19,42.67,598.01,682.88
DMU 194,34.07,3.79,330.06,3.38
DMU 195,187.85,49.4,968.09,335.72
DMU 196,421.84,12.95,838.92,352.25
DMU 197,446.43,0.91,778.5,477.84
DMU 198,113.22,38.79,333.99,402.67
DMU 199,248.27,25.77,316.72,674.13
DMU 200,231.02,43.84,198.95,567.32
DMU 201,387.31,37.06,235.78,56.75
DMU 202,245.88,0.17,251.84,512.24
DMU 203,206.2,24.54,826.62,418.33
DMU 204,228.27,37.39,652.53,479.4
DMU 205,29.18,37.99,42.67,246.73
DMU 206,479.25,13.2,411.22,414.32
DMU 207,406.71,4.53,474.28,626.13
DMU 208,169.49,36.55,296.9,482.87
DMU 209,457.18,34.9,184.39,440.09
DMU 210,459.08,12.77,874.91,427.81
DMU 211,359.96,4.23,82.57,242.4
DMU 212,219.34,29.77,296.92,450.21
DMU 213,124.77,0.14,351.93,489.03
DMU 214,2.72,30.33,690.58,293.46
DMU 215,294,17.38,239.52,222.39
DMU 216,473.47,8.12,239.61,600.65
DMU 217,198.23,28.5,495.57,459.22
DMU 218,468.29,16.76,863.45,255.15
DMU 219,390.3,23.92,325.81,437.97
DMU 220,236.12,46.05,684.71,414.54
DMU 221,55.81,35.09,592.31,410.79
DMU 222,233.6,25.58,940.4,114.07
DMU 223,497.86,23.4,484.74,235.1
DMU 224,225.83,9.56,734.36,288.92
DMU 225,59.68,7.28,968.19,495.93
DMU 226,284.63,43.8,277.75,590.53
DMU 227,454.52,46.64,57.52,292.48
DMU 228,380.58,20.34,71.36,23.88
DMU 229,186.44,10.92,368.33,440.32
DMU 230,439.98,35.84,61.97,41.35
DMU 231,359.47,12.4,984.14,626.17
DMU 232,389.68,37.23,238.07,184.35
DMU 233,427.31,42.13,161.82,504.27
DMU 234,476.37,31.44,422.76,626.79
DMU 235,414.27,16.78,492.61,176.95
DMU 236,397.18,3.32,325.5,610.14
DMU 237,165.67,3.36,233.67,83.23
DMU 238,434.67,46.56,215.79,354.69
DMU 239,376.4,8.63,794.8,440.25
DMU 240,385.02,19.54,33.05,197.82
DMU 241,92.09,6.49,914.27,680.59
DMU 242,282.9,24.32,825.62,687.14
DMU 243,46.8,43.13,860.48,203.64
DMU 244,64.14,41.55,264.38,147.35
DMU 245,163.79,26.3,327.76,697.21
DMU 246,127.53,34.89,720,279.18
DMU 247,440.99,4.72,156.7,507.28
DMU 248,151.51,3.59,780.08,432.92
DMU 249,139.81,33.32,216.36,402.84
DMU 250,195.84,15.88,338.97,311.94
DMU 251,182.38,33.38,167.84,425.94
DMU 252,92.51,27.66,213.72,200.11
DMU 253,282.76,23.85,198.74,510.67
DMU 254,266,40.79,492.18,290.04
DMU 255,457.78,24.17,887.68,10.58
DMU 256,140.01,43.69,165.02,155.8
DMU 257,148.21,36.51,63.89,116.89
DMU 258,101.36,14.45,267.7,26.17
DMU 259,361.41,32.61,697.68,486.27
DMU 260,6.76,5.06,622.83,105.47
DMU 261,20.34,8.41,519.45,653.16
DMU 262,48.59,39.12,15.7,532.87
DMU 263,286.31,3.22,655.07,573.74
DMU 264,495.5,31.78,976.36,42.94
DMU 265,313.62,38.77,733.62,391.44
DMU 266,131.79,17.85,160.06,618.25
DMU 267,284.31,42.18,197.71,451.29
DMU 268,344.49,19.75,995.37,587.1
DMU 269,462,20.89,260.17,357.56
DMU 270,420.84,37.89,489.28,145.67
DMU 271,232.2,1.5,239.91,364.41
DMU 272,208.42,45.39,978.94,59.54
DMU 273,489.16,37.54,696.02,459.89
DMU 274,392.79,33.53,237.7,299.58
DMU 275,35.44,47.37,883.55,331.72
DMU 276,346.28,19.7,867.01,9.03
DMU 277,270.48,8.5,159.33,166.98
DMU 278,443.84,35.11,404.1,662.06
DMU 279,498.8,49.01,129.29,87.24
DMU 280,222.22,1.42,50.71,468.36
DMU 281,339.86,37.7,251.56,532.59
DMU 282,28.32,20.97,755.07,537.45
DMU 283,392.25,36.69,673.99,175.86
DMU 284,209.14,0.75,216.12,299.04
DMU 285,205.3,38.89,316.11,628.92
DMU 286,474.62,41.12,501.53,433.23
DMU 287,104.7,30.76,554.37,346.12
DMU 288,254.32,28.26,642.49,431.65
DMU 289,285.93,0.49,909.04,662.18
DMU 290,398.69,14.92,640.97,91.53
DMU 291,51.31,49.36,76.73,578.25
DMU 292,39.57,48.22,523.66,610.11
DMU 293,23.53,2.26,993.79,488.22
DMU 294,240.85,7.28,902.71,460.92
DMU 295,447.87,32.17,749.53,250.56
DMU 296,47.72,32.02,884.79,518.18
DMU 297,316.26,32.17,12.82,48.78
DMU 298,315.88,16.15,6.54,659.73
DMU 299,477.09,15.05,542.97,146.69
DMU 300,23.53,38.89,640.97,250.56
